disease_id,disease_name,generated_sentence
28,안외상(각막이물),"최근 식사 중 혹은 식후에 기침, 코막힘, 눈부심 그리고 복부 통증가(이) 심해졌어요. 안외상(각막이물)인가요?"
29,안외상(외상성 백내장 및 수정체 이탈),보라색 발진 그리고 이마에 주름을 잡기가 어렵음 증상이 나타나고 있어요. 혹시 안외상(외상성 백내장 및 수정체 이탈)일까요?
30,백내장,"번쩍거림, 저체온, 음핵 그리고 화농성 분비물로 고생하고 있어요. 백내장 가능성이 있을까요?"
31,포도막염,"몸에 반불완전마비, 뻐근함 그리고 눈 주위 피부의 변화 같은 증상이 나타났습니다. 포도막염인지 걱정돼요."
32,비문증(날파리증),"최근 산소 분압 감소, 주변부 시야결손, 무력감 그리고 횡격막 상승가(이) 심해졌어요. 비문증(날파리증)인가요?"
33,당뇨망막병증,"하안검 부종, 뒷통수 통증, 빈혈 그리고 각막혼탁로 고생하고 있어요. 당뇨망막병증 가능성이 있을까요?"
34,녹내장,"눈꺼풀 아래 감각이상, 눈의 피로, 월경불순 그리고 점액변 때문에 일상생활이 힘들어요. 녹내장을 의심해볼 수 있나요?"
35,눈꺼풀속말림과 겉말림,"소변장애, 부분적인 시력 저하 그리고 안구 운동 장애 증상이 나타나고 있어요. 혹시 눈꺼풀속말림과 겉말림일까요?"
36,알레르기결막염,"치골 위 불쾌감, 안구 함몰, 침이나 음식물을 흘림 그리고 임파선염 증상이 나타나고 있어요. 혹시 알레르기결막염일까요?"
37,다래끼와 콩다래끼,"시력저하, 평발의 변형 그리고 지방변 증상이 나타나고 있어요. 혹시 다래끼와 콩다래끼일까요?"
38,크루프(후두염),"약물이나 알코올 남용, 아랫배 통증 그리고 장디증로 고생하고 있어요. 크루프(후두염) 가능성이 있을까요?"
39,유소아 난청,"불편한 감각, 젓가락질 어려움, 특정 색 그리고 불편 때문에 일상생활이 힘들어요. 유소아 난청을 의심해볼 수 있나요?"
40,노인성난청,"입 주변 마비, 불편 그리고 지구력 저하 증상이 나타나고 있어요. 혹시 노인성난청일까요?"
41,외상성 고막 천공,"몸에 눈이 붉어지는 증상, 불편감 그리고 구역질 같은 증상이 나타났습니다. 외상성 고막 천공인지 걱정돼요."
42,성대결절,"가슴쓰림, 성욕 감퇴 그리고 인지능력 장애로 고생하고 있어요. 성대결절 가능성이 있을까요?"
43,코피(비출혈),"몸에 혈변, 소뇌, 마비 그리고 경련성 하복부 통증 같은 증상이 나타났습니다. 코피(비출혈)인지 걱정돼요."
44,중이염,"최근 목의 경직, 산염기 불균형, 기침 그리고 지속적가(이) 심해졌어요. 중이염인가요?"
45,외이도염(악성 외이도염),"내분비 기능 장애, 전신권태, 자연적인 현상으로 받아들이는 불편함 그리고 국소적인 신경학적 변화 때문에 일상생활이 힘들어요. 외이도염(악성 외이도염)을 의심해볼 수 있나요?"
46,외이도염,"피부 분절, 안면피부 부종, 종창(부종, 부기) 그리고 소변이 새는 증상 때문에 일상생활이 힘들어요. 외이도염을 의심해볼 수 있나요?"
47,인두편도염,"저린 감각이나 차가움, 피부염 그리고 호흡곤란 때문에 일상생활이 힘들어요. 인두편도염을 의심해볼 수 있나요?"
48,만성비염,"말이 어눌해짐, 이상감각 그리고 근육의 힘 증상이 나타나고 있어요. 혹시 만성비염일까요?"
49,잇몸병(치주질환),"몸에 결막 출혈, 대시증 그리고 이마에 주름을 잡기가 어렵음 같은 증상이 나타났습니다. 잇몸병(치주질환)인지 걱정돼요."
50,구개열,"몸에 시각 장애, 농이 흘러나오는 증상 그리고 얼굴마비 같은 증상이 나타났습니다. 구개열인지 걱정돼요."
51,구강건조증,"불쾌감, 신경 마비 그리고 멍울로 고생하고 있어요. 구강건조증 가능성이 있을까요?"
52,골감소증,"몸에 영구적인 신경학적 장애, 위통증, 운동 후 호흡 곤란 그리고 임부 사망 같은 증상이 나타났습니다. 골감소증인지 걱정돼요."
53,코뼈 골절,"몸에 후비루 증후군, 파열 그리고 눈물이 나지 않음 같은 증상이 나타났습니다. 코뼈 골절인지 걱정돼요."
54,골다공증,"어깨 결림, 하반신 마비 그리고 부어오림 때문에 일상생활이 힘들어요. 골다공증을 의심해볼 수 있나요?"
55,"흉곽기형(오목가슴, 함몰흉, 누두흉)","맛을 느끼지 못함, 흉통, 사회적 문제 발생 그리고 씹을 때 힘이 주어지지 않는 느낌 때문에 일상생활이 힘들어요. 흉곽기형(오목가슴, 함몰흉, 누두흉)을 의심해볼 수 있나요?"
56,섬유근육통,"몸에 수유장애, 폐출혈, 만성 복통 그리고 근력 감퇴 같은 증상이 나타났습니다. 섬유근육통인지 걱정돼요."
57,평발(편평족),"양측 유방에서의 유루증, 열 자극에 의한 통증 그리고 신체화 장애로 고생하고 있어요. 평발(편평족) 가능성이 있을까요?"
58,염좌,"최근 입덧, 객담, 발목 마비 그리고 뻣뻣함가(이) 심해졌어요. 염좌인가요?"
59,골절,진동로 고생하고 있어요. 골절 가능성이 있을까요?
60,골관절염,"몸에 운동 시 마찰음, 팔통증, 가려움 그리고 음핵 같은 증상이 나타났습니다. 골관절염인지 걱정돼요."
61,요통,"외부 충격에 대한 통증, 과도한 주간 졸림증, 쑤시는 통증 그리고 척추 통증 증상이 나타나고 있어요. 혹시 요통일까요?"
62,척추관 협착증,"성욕 감퇴, 관절 주위 압통, 소화 장애 그리고 늘어짐로 고생하고 있어요. 척추관 협착증 가능성이 있을까요?"
63,척추의 형태 이상(척추측만증),"몸에 삼킨 후 목에 이상감, 떨림 증세, 어깨통증 그리고 식은땀 흘림 같은 증상이 나타났습니다. 척추의 형태 이상(척추측만증)인지 걱정돼요."
64,척추의 형태 이상(척추 후만증),"최근 근력 감소, 수두증, 코로 역류됨 그리고 보라색 발진가(이) 심해졌어요. 척추의 형태 이상(척추 후만증)인가요?"
65,좌골신경통,"작은 소리 안 들림, 살찜, 창백한 피부 그리고 극복로 고생하고 있어요. 좌골신경통 가능성이 있을까요?"
66,노인 보행장애,"최근 저산소증, 안구 돌출 그리고 주변부 시야결손가(이) 심해졌어요. 노인 보행장애인가요?"
67,반월상 연골판 손상,"조절력, 발적 그리고 불편한 감각 때문에 일상생활이 힘들어요. 반월상 연골판 손상을 의심해볼 수 있나요?"
68,무릎 인대 손상 ,"적갈색 대변, 통증 가려짐 그리고 근육 경련 때문에 일상생활이 힘들어요. 무릎 인대 손상 을 의심해볼 수 있나요?"
69,골수염,"요통, 따끔거림 그리고 화농성 이루로 고생하고 있어요. 골수염 가능성이 있을까요?"
70,연조직염(봉와직염),"최근 심근경색, 체중 감소, 저혈압 그리고 멍울가(이) 심해졌어요. 연조직염(봉와직염)인가요?"
71,발 백선(무좀),"혈종, 뇌척수액 유출, 땀분비 이상 그리고 산소 부족 때문에 일상생활이 힘들어요. 발 백선(무좀)을 의심해볼 수 있나요?"
72,수족구병(손발입병),"고열, 울음, 비출혈 그리고 팔통증 증상이 나타나고 있어요. 혹시 수족구병(손발입병)일까요?"
73,안면홍조,"최근 침흘림, 무후각증, 귀두포피염 그리고 허약감가(이) 심해졌어요. 안면홍조인가요?"
74,일광화상,"눈의 붓기, 소화 불량, 축성 경부통 그리고 찌릿찌릿한 통증 증상이 나타나고 있어요. 혹시 일광화상일까요?"
75,농가진,"몸에 딱지, 혈변, 색시증 그리고 다발성 장기 부전 같은 증상이 나타났습니다. 농가진인지 걱정돼요."
76,액취증,최근 부어오림 그리고 홍반가(이) 심해졌어요. 액취증인가요?
77,켈로이드,"뇌졸중, 다리 부음 그리고 먹지 못함 증상이 나타나고 있어요. 혹시 켈로이드일까요?"
78,여드름,"하얀 털, 반발통 그리고 부종 때문에 일상생활이 힘들어요. 여드름을 의심해볼 수 있나요?"
79,소아발진,"근육량 감소, 당혹감 그리고 늘어짐 때문에 일상생활이 힘들어요. 소아발진을 의심해볼 수 있나요?"
80,원형탈모,"건조감, 괴저 고름피부염, 오렌지껍질 그리고 폐렴로 고생하고 있어요. 원형탈모 가능성이 있을까요?"
81,백반증,"눈 주위 피부의 변화, 안정떨림, 항문의 통증 그리고 끙끙거림 증상이 나타나고 있어요. 혹시 백반증일까요?"
82,굳은살과 티눈,"빛 또는 소리에 과민해짐, 어깨 통증 그리고 피부 변화로 고생하고 있어요. 굳은살과 티눈 가능성이 있을까요?"
83,자극접촉피부염,"최근 배부름, 얼굴의 비대칭, 눈이 뻑뻑해짐 그리고 눈두덩이가(이) 심해졌어요. 자극접촉피부염인가요?"
84,모소낭,"흉부 작열감, 허혈성 쇼크 그리고 통증을 동반한 결절 증상이 나타나고 있어요. 혹시 모소낭일까요?"
85,여성형유방,"맥박수 증가, 허리 통증, 인두통 그리고 보행 지장로 고생하고 있어요. 여성형유방 가능성이 있을까요?"
86,갑상선염,"몸에 침 흘림, 윗배의 통증, 반복적인 폐렴 그리고 배뇨시 통증 같은 증상이 나타났습니다. 갑상선염인지 걱정돼요."
87,조기난소부전,"몸에 안구 운동 장애, 수유 그리고 각막의 염증 같은 증상이 나타났습니다. 조기난소부전인지 걱정돼요."
88,유루증,"외이도 막힘, 건성 수포음 그리고 산발적수포 증상이 나타나고 있어요. 혹시 유루증일까요?"
89,갑상선기능저하증,"몸에 손가락, 명치 통증, 눈꺼풀 부종 그리고 부어오름 같은 증상이 나타났습니다. 갑상선기능저하증인지 걱정돼요."
90,성조숙증,몸에 소변 횟수 증가 같은 증상이 나타났습니다. 성조숙증인지 걱정돼요.
91,갑상선기능항진증,"몸에 위통증, 음식섭취, 백태 그리고 잠자기 같은 증상이 나타났습니다. 갑상선기능항진증인지 걱정돼요."
92,"당뇨병 합병증(급성 합병증_당뇨병케토산증, 고혈당고삼투질상태)","동기 및 에너지 저하, 저칼륨성 마비 그리고 식은땀 흘림로 고생하고 있어요. 당뇨병 합병증(급성 합병증_당뇨병케토산증, 고혈당고삼투질상태) 가능성이 있을까요?"
93,당뇨병 합병증(급성 합병증_저혈당),"최근 한쪽 팔다리 마비, 한눈복시 그리고 천명음가(이) 심해졌어요. 당뇨병 합병증(급성 합병증_저혈당)인가요?"
94,소아 비만,"최근 근시, 이산화탄소 분압 감소 그리고 배꼽이상가(이) 심해졌어요. 소아 비만인가요?"
95,선천갑상샘저하증,"혀, 어지럽다, 의사소통 어려움 그리고 글자의 공백 증상이 나타나고 있어요. 혹시 선천갑상샘저하증일까요?"
96,부신부전증,"수면 장애, 담석 질환, 결막충혈 그리고 탈홍증 증상이 나타나고 있어요. 혹시 부신부전증일까요?"
97,갑상선 양성 종양,"근력 감소, 시신경, 요도하열 그리고 가쁜 호흡로 고생하고 있어요. 갑상선 양성 종양 가능성이 있을까요?"
98,갑상선 결절,"시끄러운 곳에서 말을 알아듣기 어렵음, 두통 그리고 콧물 증상이 나타나고 있어요. 혹시 갑상선 결절일까요?"
99,인플루엔자,"가슴쓰림, 삼킨 후 목에 이상감 그리고 습진 증상이 나타나고 있어요. 혹시 인플루엔자일까요?"
100,폐렴(소아),"입 주변 마비, 가슴 압박감, 어깨 통증 그리고 턱통증 증상이 나타나고 있어요. 혹시 폐렴(소아)일까요?"
101,천식,"저칼륨혈증, 콧물 그리고 느린 맥박로 고생하고 있어요. 천식 가능성이 있을까요?"
102,폐렴(성인),"최근 가려움, 식욕 감소, 상기도 폐쇄 그리고 근력 감소가(이) 심해졌어요. 폐렴(성인)인가요?"
103,레지오넬라증,"공명 이상, 갈증, 두조통 그리고 감각 이상로 고생하고 있어요. 레지오넬라증 가능성이 있을까요?"
104,감기,"몸에 만성 기침, 식후 팽만감 그리고 삼출성 이루 같은 증상이 나타났습니다. 감기인지 걱정돼요."
105,급성호흡기바이러스감염증,"하복부 통증, 야간의 통증 그리고 발열 때문에 일상생활이 힘들어요. 급성호흡기바이러스감염증을 의심해볼 수 있나요?"
106,급성호흡곤란증후군,"고지혈증, 구역질, 신체의 무감각 또는 저릿저릿함 그리고 빠르거나 불규칙적인 심장박동 증상이 나타나고 있어요. 혹시 급성호흡곤란증후군일까요?"
107,기흉,창백 그리고 호흡 곤란 증상이 나타나고 있어요. 혹시 기흉일까요?
108,폐흡충증,"몸에 팽만감, 화끈거림 그리고 폐출혈 같은 증상이 나타났습니다. 폐흡충증인지 걱정돼요."
109,비부비동염,"무기력, 급성신부전, 전신적인 증상 그리고 뇌간 뇌염 때문에 일상생활이 힘들어요. 비부비동염을 의심해볼 수 있나요?"
110,폐부종,"최근 혈당 상승, 이상감각 그리고 전음성 난청가(이) 심해졌어요. 폐부종인가요?"
111,만성기관지염,"오른쪽 윗배 통증, 따가움, 만성 통증 그리고 잔변감로 고생하고 있어요. 만성기관지염 가능성이 있을까요?"
112,세기관지염,"몸에 소변의 횟수 증가, 결막 충혈 그리고 약해짐 같은 증상이 나타났습니다. 세기관지염인지 걱정돼요."
113,백일해,"호산구증가증, 숨쉬기 어려움 그리고 과다한 눈물흘림 때문에 일상생활이 힘들어요. 백일해을 의심해볼 수 있나요?"
114,노인 호흡곤란,"두통 발작 전에 점진적으로 나타나 사라지는 조짐(Aura), 0단계 호흡곤란 그리고 우상복부 통증 증상이 나타나고 있어요. 혹시 노인 호흡곤란일까요?"
115,변형코로나바이러스감염증,"최근 신부전, 자주 흘러나오는 소변, 피로 그리고 열성 홍조 및 발한가(이) 심해졌어요. 변형코로나바이러스감염증인가요?"
116,하지정맥류,"배꼽이상, 하복부의 불쾌감, 폐부종 그리고 대비감 저하 증상이 나타나고 있어요. 혹시 하지정맥류일까요?"
117,심방중격결손증,"최근 비전형적 흉통, 다리 부음 그리고 맥박이 안 만져지기가(이) 심해졌어요. 심방중격결손증인가요?"
118,만성콩팥병,"심부전, 기관 압박, 급뇨(급박뇨) 그리고 치모 소실로 고생하고 있어요. 만성콩팥병 가능성이 있을까요?"
119,급성 심근경색증,"최근 진통, 심장 박동 빠름, 젓가락질 어려움 그리고 불쾌감가(이) 심해졌어요. 급성 심근경색증인가요?"
120,뇌졸중,"피가 나는 증상, 영양장애 그리고 턱통증 때문에 일상생활이 힘들어요. 뇌졸중을 의심해볼 수 있나요?"
121,심부 정맥 혈전증,"딱딱함, 갑상선 안병증, 기립저혈압 그리고 결막 출혈 증상이 나타나고 있어요. 혹시 심부 정맥 혈전증일까요?"
122,심실중격결손증,"하지 방사통, 불편한 감각, 눈의 붓기 그리고 뇌부종로 고생하고 있어요. 심실중격결손증 가능성이 있을까요?"
123,림프절 종대,"가슴 압박감, 벌겋게 부어오른 부분, 자세 불안정 그리고 축성 경부통 증상이 나타나고 있어요. 혹시 림프절 종대일까요?"
124,대동맥 박리,"뼈 부러짐, 삼출성중이염 그리고 기절로 고생하고 있어요. 대동맥 박리 가능성이 있을까요?"
125,정계정맥류,"열감, 흉부 작열감, 호흡수 증가 그리고 산 염기 불균형 증상이 나타나고 있어요. 혹시 정계정맥류일까요?"
126,감염심내막염,"발열감, 변색된 콧물, 농양 그리고 눈의 자극감 때문에 일상생활이 힘들어요. 감염심내막염을 의심해볼 수 있나요?"
127,심낭염(교착 심낭염),"최근 열감, 우측 견갑골 통증, 수면장애 그리고 심장 두근거림가(이) 심해졌어요. 심낭염(교착 심낭염)인가요?"
128,심낭염(심장눌림증),"몸에 연하곤란, 눈 주위 피부의 변화, 토혈 그리고 뇌출혈 같은 증상이 나타났습니다. 심낭염(심장눌림증)인지 걱정돼요."
129,심낭염(만성 심낭삼출),"결막충혈, 대화 어려워짐, 만성 두통 그리고 손 떨림로 고생하고 있어요. 심낭염(만성 심낭삼출) 가능성이 있을까요?"
130,심낭염(급성 심낭염),"눈 충혈, 유리체출혈, 불편감 그리고 호흡 곤란로 고생하고 있어요. 심낭염(급성 심낭염) 가능성이 있을까요?"
131,부정맥,"몸에 전신쇠약, 배뇨 장애 그리고 관절염 같은 증상이 나타났습니다. 부정맥인지 걱정돼요."
132,일과성 허혈 발작,"소변 흘림, 안구통증 그리고 배변과정의 어려움 증상이 나타나고 있어요. 혹시 일과성 허혈 발작일까요?"
133,간의 양성종양(간혈관종),"뇌종양, 저칼륨혈증 그리고 동통 때문에 일상생활이 힘들어요. 간의 양성종양(간혈관종)을 의심해볼 수 있나요?"
134,심부전,"최근 거품이나 피가 섞인 가래, 경부임파선염, 흉부 불쾌감 그리고 인지기능장애가(이) 심해졌어요. 심부전인가요?"
135,빈혈,"몸에 어깨 결림, 허혈성 궤양 그리고 시야장애 같은 증상이 나타났습니다. 빈혈인지 걱정돼요."
136,대동맥류,"최근 혈관확장증, 화농성 분비물 그리고 손 운동 장애가(이) 심해졌어요. 대동맥류인가요?"
137,이상지질혈증,"전신 통증, 갑상선 안병증 그리고 하반신 마비 증상이 나타나고 있어요. 혹시 이상지질혈증일까요?"
138,중증열성혈소판감소증후군(SFTS),"급성 호흡곤란, 땀분비 이상 그리고 문맥압 항진증 때문에 일상생활이 힘들어요. 중증열성혈소판감소증후군(SFTS)을 의심해볼 수 있나요?"
139,노인 고혈압,"최근 불쾌감, 대사성 산증, 분홍빛 가래 그리고 과한 반응가(이) 심해졌어요. 노인 고혈압인가요?"
140,폐색성죽상동맥경화증,"몸에 머리 무게, 전신 통증, 울기 그리고 복강내 출혈로 인한 증상 같은 증상이 나타났습니다. 폐색성죽상동맥경화증인지 걱정돼요."
141,심장 판막 질환,"피부결손, 갑상선종, 수면 장애 그리고 신경 압박 증상이 나타나고 있어요. 혹시 심장 판막 질환일까요?"
142,죽상경화증,"최근 흉부 작열감, 가래, 쇠약 그리고 구토가(이) 심해졌어요. 죽상경화증인가요?"
143,감염단핵구증,"최근 이상감각, 호흡곤란 그리고 불편감가(이) 심해졌어요. 감염단핵구증인가요?"
144,위식도역류질환,"호흡곤란으로 안절부절못함, 난청, 전기 오듯 쩌릿하다 그리고 짜증로 고생하고 있어요. 위식도역류질환 가능성이 있을까요?"
145,요충증,"최근 둔감, 가려움, 등 통증 그리고 소화불량증가(이) 심해졌어요. 요충증인가요?"
146,편충증,"미열, 결막 충혈 그리고 음경 모양 비정상 때문에 일상생활이 힘들어요. 편충증을 의심해볼 수 있나요?"
147,알코올 간질환,"뇌졸중, 소변줄기 힘이 약해짐 그리고 먹지 못함 증상이 나타나고 있어요. 혹시 알코올 간질환일까요?"
148,회충증,"몸에 한눈복시, 실신, 어지럼증 그리고 오한 같은 증상이 나타났습니다. 회충증인지 걱정돼요."
149,장결핵,"눈의 자극감, 불편감 그리고 안구돌출 증상이 나타나고 있어요. 혹시 장결핵일까요?"
150,췌장염,"몸에 치열, 둔감, 전신무력감 그리고 압박골절 같은 증상이 나타났습니다. 췌장염인지 걱정돼요."
151,급성 충수염,"몸에 림프절 부종, 울음 그리고 거품뇨 같은 증상이 나타났습니다. 급성 충수염인지 걱정돼요."
152,복부 팽만,"최근 당뇨, 홍반, 척추 통증 그리고 젖가(이) 심해졌어요. 복부 팽만인가요?"
153,B형간염,"혈압 하락, 잠복고환, 엉덩이 통증 그리고 건성 수포음 증상이 나타나고 있어요. 혹시 B형간염일까요?"
154,A형간염,"최근 근육 경련, 기립성 저혈압 그리고 흉통가(이) 심해졌어요. A형간염인가요?"
155,혈변 및 흑변(성인),"무지근한 느낌, 적갈색 대변 그리고 소화불량 증상이 나타나고 있어요. 혹시 혈변 및 흑변(성인)일까요?"
156,궤양대장염(궤양결장염),"최근 운동실조, 장 운동 저하, 저혈압 그리고 의식 장애가(이) 심해졌어요. 궤양대장염(궤양결장염)인가요?"
157,식중독,"최근 체중 증가 부족, 안통, 쇠약감 그리고 저혈당가(이) 심해졌어요. 식중독인가요?"
158,급성 바이러스 위장관염,"습한 기후에 악화되는 통증, 식은땀 그리고 천명음 때문에 일상생활이 힘들어요. 급성 바이러스 위장관염을 의심해볼 수 있나요?"
159,복부 수술 후 장유착,"숨이 차는 증상, 안검 부종 그리고 목의 이물감로 고생하고 있어요. 복부 수술 후 장유착 가능성이 있을까요?"
160,변비,"가슴쓰림, 수술, 적갈색 대변 그리고 의심 증상이 나타나고 있어요. 혹시 변비일까요?"
161,직장염,"몸에 하복부의 불쾌감, 불안 그리고 피부 분절 같은 증상이 나타났습니다. 직장염인지 걱정돼요."
162,간농양,"최근 하지 괴사, 오심 그리고 삼출성 이루가(이) 심해졌어요. 간농양인가요?"
163,담관염,"소변은 나오기 시작할 때까지 시간이 걸림, 인두통, 변 후 변이 남아있는 느낌 그리고 상처 증상이 나타나고 있어요. 혹시 담관염일까요?"
164,치핵,"최근 탈수, 비후신 그리고 외이도 막힘가(이) 심해졌어요. 치핵인가요?"
165,담낭염,"맥박 증가, 맥박이 안 만져지기, 옆구리와 아랫배 통증 그리고 후비루 증후군로 고생하고 있어요. 담낭염 가능성이 있을까요?"
166,탈장(소아),복강내 출혈로 인한 증상 그리고 삼킨 후 목에 이상감 때문에 일상생활이 힘들어요. 탈장(소아)을 의심해볼 수 있나요?
167,바렛 식도,"장 경색, 피가 나는 증상, 생리통 그리고 만성 비부비동염 증상이 나타나고 있어요. 혹시 바렛 식도일까요?"
168,식도정맥류,"최근 간성뇌증, 불면증, 한쪽 팔다리 마비 그리고 월경 곤란가(이) 심해졌어요. 식도정맥류인가요?"
169,위염,"최근 편마비, 약물 호전 어려움 그리고 당기는 증상가(이) 심해졌어요. 위염인가요?"
170,간의 양성종양(담관낭선종),"최근 쉰 목소리, 복시 그리고 시력 저하가(이) 심해졌어요. 간의 양성종양(담관낭선종)인가요?"
171,간의 양성종양(국소결절증식증),토함 그리고 피로 때문에 일상생활이 힘들어요. 간의 양성종양(국소결절증식증)을 의심해볼 수 있나요?
172,간의 양성종양(간낭종),"맥이 빠짐, 신경성 간헐적 파행, 눈의 자극감 그리고 진물로 고생하고 있어요. 간의 양성종양(간낭종) 가능성이 있을까요?"
173,노인 변비,"최근 의식저하, 하지불안증후군 그리고 운동 시 마찰음가(이) 심해졌어요. 노인 변비인가요?"
174,대장게실증,"몸에 불편, 연하곤란, 방귀 그리고 아랫배 통증 같은 증상이 나타났습니다. 대장게실증인지 걱정돼요."
175,항문직장농양과 치루(항문직장농양),"몸에 경련성 통증, 아랫배 통증, 야뇨증 그리고 균열 같은 증상이 나타났습니다. 항문직장농양과 치루(항문직장농양)인지 걱정돼요."
176,항문직장농양과 치루(치루),"최근 물집, 열감 그리고 갈라짐가(이) 심해졌어요. 항문직장농양과 치루(치루)인가요?"
177,과민성장증후군,"최근 호흡곤란, 피부 발적, 결막 출혈 그리고 눈꺼풀 부종/처짐가(이) 심해졌어요. 과민성장증후군인가요?"
178,창자겹침증,"시야가 흐려짐, 무호흡 그리고 인두의붉음로 고생하고 있어요. 창자겹침증 가능성이 있을까요?"
179,급성 간부전,"최근 복막염, 성장장애, 반복적 호흡기 감염 그리고 맥박 증가가(이) 심해졌어요. 급성 간부전인가요?"
180,장흡충증,"몸에 피부 발적, 허혈 상태 그리고 후비루 증후군 같은 증상이 나타났습니다. 장흡충증인지 걱정돼요."
181,C형간염,"만성 기침, 안구통 그리고 혈압저하로 고생하고 있어요. C형간염 가능성이 있을까요?"
182,노인 삼킴장애,"화끈거림, 전신 통증 그리고 콧물 색상 변화로 고생하고 있어요. 노인 삼킴장애 가능성이 있을까요?"
183,담석증,"몸에 피로감, 간농양 그리고 패혈증 같은 증상이 나타났습니다. 담석증인지 걱정돼요."
184,위십이지장 궤양,"소변 흘림, 소변이 전혀 나오지 않는 무뇨 그리고 피부 붉음로 고생하고 있어요. 위십이지장 궤양 가능성이 있을까요?"
185,메켈 게실,"안면피부 부종, 유리체출혈, 발목부종 그리고 뇌졸중 증상이 나타나고 있어요. 혹시 메켈 게실일까요?"
